interaction label freq num_filled method best_chisq best_coefficient best_coefficient_err best_constant best_constant_err best_fixedab_constant_err best_exponent best_exponent_err best_fit_method best_fit_stop chisq coefficient coefficient_err constant constant_err fixedab_constant_err exponent exponent_err fit_method fit_stop rel_discrep rel_discrep_err rel_dist rel_dist_err
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 6.302849940398259e-09 7.252950192706979 8.54587866977005 0.571722203794385 4.290920136292722e-05 8.766787947891954e-05 -5.416684599381223 0.7429865061649823 full 10 0.0005840486945749568 7.509978855215156e-05 -1.7355607688422802e-05 7.509637047682343e-05
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 6.217770086210616e-12 0.016096942460056926 0.001056560600696787 0.5714294658002926 1.0788884647894879e-05 6.424362316700816e-07 -1.7559660167227955 0.044592877381922 full 11 7.172126458954153e-05 1.8895448486687456e-05 0.0004180574266690664 1.888187272000476e-05
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.00380252895912e-12 0.01774616017672727 0.0016086858243776643 0.57143940865108 1.0191449495542647e-05 5.609104387236333e-07 -1.814662548220399 0.055941369994025235 full 12 8.912247418102481e-05 1.785065932616692e-05 0.0003406970108741272 1.7836287853773288e-05
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.02240765545495e-14 0.012972222074389451 0.00018127705953519744 0.5714080823586396 1.542933482203209e-06 1.671029972197348e-07 -1.6300096037267644 0.008333944896422104 full 13 3.4297616387179986e-05 2.7936646617139963e-06 0.00034693145999831177 2.700323035867687e-06
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 3.066261723541635e-14 0.01255617831659851 0.00022838549247848454 0.5714049961941804 1.657609797395432e-06 1.0173972179831965e-07 -1.611413566295608 0.010268708096845595 full 14 2.8896449685955616e-05 2.988098577383301e-06 0.000312592588892824 2.901020663818e-06
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.2918008227422535e-14 0.01234720809775641 0.00038088065721822396 0.571403434841833 2.350084114712675e-06 8.727216400749567e-08 -1.6019075329514212 0.01659284909753448 full 15 2.6163891386099536e-05 4.174811344669995e-06 0.000282149819907564 4.112935732604387e-06
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 2.571081343888904e-15 0.011194592286756785 0.00011621544802119935 0.5713967423811681 7.16767748386625e-07 4.346912826106522e-08 -1.5508827212787917 0.005400700849384101 full 16 1.4451263568915351e-05 1.4444362183238236e-06 0.00026582373077829675 1.2544315738512743e-06
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.684057183697983e-15 0.01100790533321293 0.00020801415552562882 0.5713955933134839 1.1323546331005649e-06 3.7630135944807304e-08 -1.5421722112006937 0.009472378414116715 full 17 1.2440254047119126e-05 2.1071702879060875e-06 0.00024385630818725084 1.9817596382032605e-06
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.2406084715621085e-16 0.010308279463310121 7.634500361660859e-05 0.5713919790525097 4.044634167589129e-07 2.3185682568097974e-08 -1.5100432896014333 0.003609065159364376 full 18 6.114853608574222e-06 1.0069039590132608e-06 0.00022946025499335856 7.078606555890566e-07
normal add 0.1 1 ccsd+eom 2.390839140264393e-16 0.009590114118106745 8.733830540965359e-05 0.5713884850955697 4.091646796869762e-07 1.3396122805267398e-08 -1.4760009489742358 0.004208445796252083 full 20 4.72908973292892e-16 0.009976915630843314 0.00010059247936743338 0.5713903072028074 4.958936007293779e-07 1.7984707472856223e-08 -1.4944037379777384 0.0047767382220913965 full 19 3.188911371410086e-06 1.1251632626705534e-06 0.00021431792972193846 8.678746971946446e-07
normal add 0.28 1 ccsd+eom 4.700718660100897e-15 0.03768924032324953 0.00037115824917134026 1.230845539107089 1.8470800376006505e-06 5.480263588423154e-08 -1.4597959910308071 0.0045661925151503765 full 20 1.4908765098396464e-09 0.08154658367205715 0.010494872324979962 1.2310578602406466 0.00011496479808975707 8.547608369916467e-06 -1.8687647436086108 0.09555028724161699 full 10 0.00017250022591097647 9.341516594777814e-05 0.0009021178726933276 9.34031074160883e-05
