interaction label freq num_filled method best_chisq best_coefficient best_coefficient_err best_constant best_constant_err best_fixedab_constant_err best_exponent best_exponent_err best_fit_method best_fit_stop chisq coefficient coefficient_err constant constant_err fixedab_constant_err exponent exponent_err fit_method fit_stop rel_discrep rel_discrep_err rel_dist rel_dist_err
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 3.5889793475217846e-09 18.232298789524037 25.708512271137657 0.571765626152062 4.6990343153311826e-05 2.7165958158931904e-05 -6.010747702253945 0.8913902927681454 full 9 0.0006616704863886547 8.224090336931402e-05 5.9291594702579195e-06 8.223900340594498e-05
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 6.211805192672272e-12 0.016051689898830594 0.0017187956795045199 0.5714288645305032 1.9460366638226723e-05 7.704380884382955e-07 -1.7539448823362187 0.07456433852467688 full 10 7.229534494745948e-05 3.406266833647133e-05 0.0004959671707677985 3.405808621302289e-05
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 2.6443022950846776e-12 0.019319133291138834 0.0023947667641599684 0.5714504119204551 1.4214329340370737e-05 5.888211757353476e-07 -1.8691480948901202 0.07735421999663905 full 11 0.00011000598412835849 2.488313527668305e-05 0.00038134201087575175 2.4876861938737473e-05
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 3.300521498926255e-14 0.013100371053524065 0.0002817997502484203 0.5714093079939153 2.5468793364420916e-06 1.759532838867722e-07 -1.6361059556770523 0.013063242832832994 full 12 3.806894924274218e-05 4.492233706453006e-06 0.000393319742048777 4.457358781043995e-06
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 2.842190250908553e-14 0.012662143949456786 0.00038199258939849377 0.5714058383333306 2.9337668024596977e-06 1.0755006816589933e-07 -1.616322767172221 0.017312115809145295 full 13 3.199660736363796e-05 5.164764917697787e-06 0.00035080159623736463 5.134460445379293e-06
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 2.874027548885638e-14 0.012735327513098268 0.0005608721546120504 0.5714060391582617 3.4973053778844196e-06 8.815158998330051e-08 -1.6190419970646575 0.023980075240567958 full 14 3.234807622054525e-05 6.146167256722912e-06 0.0003107082748205677 6.120723742338763e-06
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 2.0087856346187396e-15 0.011287616719203343 0.00018208190234294053 0.5713973441303037 1.175946020519282e-06 4.3645468841230065e-08 -1.5553026221987427 0.008505967548629478 full 15 1.7130685031840898e-05 2.1325305528283573e-06 0.0002927502847722585 2.0580532637635843e-06
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 2.3609374998688137e-15 0.011277001792146761 0.0002680868641776211 0.5713971484888815 1.4806799100349715e-06 3.6939390611776914e-08 -1.554564372286408 0.012045425415663513 full 16 1.6788287966695847e-05 2.65091152283192e-06 0.0002650556694185431 2.591375848565032e-06
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 7.69943922858667e-17 0.010446930365508502 5.9058672888555405e-05 0.5713927434713962 3.2216634595659016e-07 2.273468098708664e-08 -1.5166986730059326 0.002784964857706138 full 17 9.078954012808893e-06 7.937281454717711e-07 0.00024878653226416197 5.638315928212813e-07
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 1.5935218149621398e-16 0.010127047589172058 0.00010649137438615934 0.571391075518947 5.371420615099876e-07 1.7458470677350448e-08 -1.501632386644294 0.005030659690201778 full 18 6.159827699914189e-06 1.0935358894185065e-06 0.00023098242112052966 9.400660918358087e-07
normal add 0.1 1 ccsd+eom 3.103574609929624e-17 0.009383111081632024 7.015989492399396e-05 0.571387555870053 3.1920710723450525e-07 9.705955810512873e-09 -1.4661422534391815 0.003406206375857173 full 20 6.171993602119451e-17 0.009721557374986934 8.126156687241963e-05 0.5713891153520948 3.8927849620062716e-07 1.281107691994248e-08 -1.4824168305680776 0.003898224471691078 full 19 2.729289473979435e-06 8.810478649678633e-07 0.0002163464125798416 6.812862799112748e-07
normal add 0.28 1 ccsd+eom 7.403491633169894e-16 0.0367836985451005 0.00032447648946380805 1.2308413286686806 1.5762077025847162e-06 3.967804372687054e-08 -1.4487690651980072 0.004033027861149406 full 20 1.3465280961917691e-09 0.07708798887738685 0.014787872668013012 1.2309920723536396 0.00020322743933921304 1.0136878021755656e-05 -1.8240108176031755 0.14766404016456142 full 9 0.00012247206967130886 0.00016511758944878985 0.0011455746679268856 0.00016511262224762333
