label interaction num_filled freq method fit_method fit_stop chisq coefficient coefficient_err exponent exponent_err constant constant_err fixedab_constant_err dist dist_err
add normal 1 0.1 ccsd+eom full 9 3.589026896723008e-09 18.235077731593446 25.722211371968648 -6.010844712289665 0.8916676527912324 0.5717656633772548 4.6995895275538843e-05 2.7166187228548715e-05 3.3836227452122003e-06 4.6995895275538843e-05
add normal 1 0.1 ccsd+eom full 10 6.212742929335269e-12 0.016051508836519283 0.0017187063975941095 -1.7539385111199877 0.07456048746228401 0.5714288966520155 1.945955007382868e-05 7.704616000804705e-07 0.00028339034798452456 1.945955007382868e-05
add normal 1 0.1 ccsd+eom full 11 2.6443021789737066e-12 0.01931963807480954 0.0023948284332493443 -1.8691643440128716 0.07735327398760951 0.5714504478451516 1.4213754198109463e-05 5.88821133583668e-07 0.00021789115484838195 1.4213754198109463e-05
add normal 1 0.1 ccsd+eom full 12 3.300521675078199e-14 0.013100327454043813 0.0002816800531372608 -1.6361039266339152 0.013057454383764266 0.5714093405995223 2.5456307300063016e-06 1.7595328517556713e-07 0.00022473840047765314 2.5456307300063016e-06
add normal 1 0.1 ccsd+eom full 13 2.842190199096159e-14 0.012662192773053938 0.00038166394813603845 -1.6163249795456751 0.017297320235917533 0.5714058717064241 2.9311940622312055e-06 1.0755006537010806e-07 0.00020044329357593593 2.9311940622312055e-06
add normal 1 0.1 ccsd+eom full 14 2.8661094417553196e-14 0.01273834366002921 0.0005613856614507067 -1.6191739659362605 0.023995420374100327 0.5714060928282086 3.4988426638724263e-06 8.810021933086425e-08 0.00017751517179132037 3.4988426638724263e-06
add normal 1 0.1 ccsd+eom full 15 2.031568168349246e-15 0.011290382054940352 0.00018302571754934963 -1.5554376472009317 0.008547518939813144 0.5713973985111257 1.181392279486476e-06 4.368044661005387e-08 0.00016725348887425273 1.181392279486476e-06
add normal 1 0.1 ccsd+eom full 16 2.4370630277415287e-15 0.01127118041023961 0.00027286458760562583 -1.5543056859561406 0.012266472876842885 0.57139715128372 1.5081687686978986e-06 3.7055202486106764e-08 0.00015147971627993417 1.5081687686978986e-06
add normal 1 0.1 ccsd+eom full 17 6.764666772640368e-17 0.010438250987098097 5.538927830747535e-05 -1.516287098937252 0.0026145533147810514 0.5713927286165734 3.026948542392408e-07 2.267051500930325e-08 0.00014220138342657673 3.026948542392408e-07
add normal 1 0.1 ccsd+eom full 18 1.4099415800406798e-16 0.010135372893568164 0.00010084733271558179 -1.5020217404158323 0.0047601722435729275 0.57139114933987 5.081420966719139e-07 1.736419927023306e-08 0.00013194066013000327 5.081420966719139e-07
add normal 1 0.1 ccsd+eom full 19 7.538617389514465e-17 0.009726090552401591 8.960846664853688e-05 -1.482630388855647 0.004296703882014448 0.5713891688191721 4.290676412448337e-07 1.2928693305256605e-08 0.0001235971808278835 4.290676412448337e-07
add normal 1 0.1 ccsd+eom full 20 3.2118835552324283e-17 0.009374002740916171 7.049138055044792e-05 -1.4657003636552128 0.0034254767915615804 0.571387547868033 3.2112790634372114e-07 9.714763992160583e-09 0.00011614413196692208 3.2112790634372114e-07
add normal 1 0.28 ccsd+eom full 9 1.3465280883608036e-09 0.0770867517875144 0.014788685599268254 -1.8239985087106594 0.14767211958132204 1.2309920878468892 0.00020323923402969436 1.0136878039851214e-05 0.0014100371531107214 0.00020323923402969436
