# Data imported from Sarah's compWithOtherMethods/data.txt
#
# Additional comments from the data file for each (num_particles, freq):
#
# - (56, 1.0) no convergence until R=14
# - (56, 0.5) no convergence until R=16
# - (56, 0.28) no convergence until R=18
# - (56, 0.1) no convergence until at least R=18
#
# Rows with energy=nan indicate no convergence (marked as "nc" in data.txt)
#
num_particles freq num_shells method energy
12 1.0 11 imsrg 65.80346
12 1.0 12 hf 66.91136
12 1.0 12 imsrg 65.78621
12 1.0 12 ccsd 65.8484
12 1.0 13 hf 66.91132
12 1.0 13 imsrg 65.77311
12 1.0 14 hf 66.91132
12 1.0 14 imsrg 65.76275
12 1.0 14 ccsd 65.825
12 1.0 15 hf 66.91132
12 1.0 15 imsrg 65.75437
12 1.0 16 hf 66.91132
12 1.0 16 imsrg 65.74746
12 1.0 16 ccsd 65.8097
12 1.0 18 hf 66.91132
12 1.0 18 imsrg 65.73671
12 1.0 18 ccsd 65.7989
12 1.0 20 hf 66.91132
12 1.0 20 imsrg 65.72874
12 1.0 20 ccsd 65.7909
12 0.5 4 hf 43.66327
12 0.5 4 imsrg 43.241
12 0.5 5 hf 41.10885
12 0.5 5 imsrg 40.62285
12 0.5 6 hf 40.75051
12 0.5 6 imsrg 39.98939
12 0.5 7 hf 40.30272
12 0.5 7 imsrg 39.42398
12 0.5 8 hf 40.26375
12 0.5 8 imsrg 39.30358
12 0.5 9 hf 40.21669
12 0.5 9 imsrg 39.23755
12 0.5 10 hf 40.21625
12 0.5 10 imsrg 39.21784
12 0.5 10 ccsd 39.3081
12 0.5 11 hf 40.21619
12 0.5 11 imsrg 39.20457
12 0.5 12 hf 40.21617
12 0.5 12 imsrg 39.19486
12 0.5 12 ccsd 39.2842
12 0.5 13 hf 40.21614
12 0.5 13 imsrg 39.18748
12 0.5 14 hf 40.21614
12 0.5 14 imsrg 39.18171
12 0.5 14 ccsd 39.2703
12 0.5 16 hf 40.21614
12 0.5 16 imsrg 39.17328
12 0.5 16 ccsd 39.2614
12 0.5 18 hf 40.21614
12 0.5 18 imsrg 39.16742
12 0.5 18 ccsd 39.2551
12 0.5 20 hf 40.21614
12 0.5 20 imsrg 39.16313
12 0.5 20 ccsd 39.2504
12 0.28 5 hf 27.59611
12 0.28 5 imsrg 27.17675
12 0.28 6 hf 27.1949
12 0.28 6 imsrg 26.49848
12 0.28 7 hf 26.72253
12 0.28 7 imsrg 25.92512
12 0.28 8 hf 26.65115
12 0.28 8 imsrg 25.74255
12 0.28 9 hf 26.5597
12 0.28 9 imsrg 25.65997
12 0.28 10 hf 26.55443
12 0.28 10 imsrg 25.64839
12 0.28 10 ccsd 25.7634
12 0.28 11 hf 26.55004
12 0.28 11 imsrg 25.6409
12 0.28 12 hf 26.55004
12 0.28 12 imsrg 25.63619
12 0.28 12 ccsd 25.7476
12 0.28 13 hf 26.55003
12 0.28 13 imsrg 25.63261
12 0.28 14 hf 26.55003
12 0.28 14 imsrg 25.62985
12 0.28 14 ccsd 25.7396
12 0.28 16 hf 26.55002
12 0.28 16 imsrg 25.62587
12 0.28 16 ccsd 25.7345
12 0.28 18 hf 26.55002
12 0.28 18 imsrg 25.62316
12 0.28 18 ccsd 25.731
12 0.28 20 hf 26.55002
12 0.28 20 imsrg 25.62121
12 0.28 20 ccsd 25.7284
12 0.1 5 hf 14.09824
12 0.1 5 imsrg 13.78429
12 0.1 7 hf 13.27086
12 0.1 7 imsrg 12.63665
12 0.1 9 hf 13.00015
12 0.1 9 imsrg 12.25154
12 0.1 10 hf 12.96987
12 0.1 10 imsrg 12.2138
12 0.1 10 ccsd 12.3887
12 0.1 11 hf 12.93358
12 0.1 11 imsrg 12.21849
12 0.1 12 hf 12.92922
12 0.1 12 imsrg 12.21819
12 0.1 12 ccsd 12.3628
12 0.1 13 hf 12.92495
12 0.1 13 imsrg 12.22015
12 0.1 14 hf 12.92476
12 0.1 14 imsrg 12.2208
12 0.1 14 ccsd 12.3596
12 0.1 16 hf 12.92466
12 0.1 16 imsrg 12.22152
12 0.1 16 ccsd 12.3583
12 0.1 18 hf 12.92466
12 0.1 18 imsrg 12.22196
12 0.1 18 ccsd 12.3574
12 0.1 20 hf 12.92466
12 0.1 20 imsrg 12.22229
12 0.1 20 ccsd 12.3568
20 1.0 6 hf 161.3397
20 1.0 6 imsrg 160.5668
20 1.0 7 hf 159.9587
20 1.0 7 imsrg 158.7748
20 1.0 8 hf 158.4002
20 1.0 8 imsrg 156.9626
20 1.0 9 hf 158.226
20 1.0 9 imsrg 156.5807
20 1.0 10 hf 158.0177
20 1.0 10 imsrg 156.2704
20 1.0 10 ccsd 156.3659
20 1.0 11 hf 158.0103
20 1.0 11 imsrg 156.192
20 1.0 12 hf 158.005
20 1.0 12 imsrg 156.1371
20 1.0 12 ccsd 156.2363
20 1.0 13 hf 158.0048
20 1.0 13 imsrg 156.0968
20 1.0 14 hf 158.0043
20 1.0 14 imsrg 156.0665
20 1.0 14 ccsd 156.1671
20 1.0 16 hf 158.0043
20 1.0 16 imsrg 156.0232
20 1.0 16 ccsd 156.1243
20 1.0 18 hf 158.0043
20 1.0 18 imsrg 155.9944
20 1.0 18 ccsd 156.0956
20 1.0 20 hf 158.0043
20 1.0 20 imsrg 155.9737
20 1.0 20 ccsd 156.075
20 0.5 6 hf 99.7546
20 0.5 6 imsrg 99.08287
20 0.5 7 hf 98.19348
20 0.5 7 imsrg 97.12898
20 0.5 8 hf 96.55322
20 0.5 8 imsrg 95.29265
20 0.5 9 hf 96.22321
20 0.5 9 imsrg 94.70851
20 0.5 10 hf 95.83332
20 0.5 10 imsrg 94.21776
20 0.5 10 ccsd 94.3572
20 0.5 11 hf 95.78579
20 0.5 11 imsrg 94.09619
20 0.5 12 hf 95.7346
20 0.5 12 imsrg 94.02036
20 0.5 12 ccsd 94.1641
20 0.5 13 hf 95.73331
20 0.5 13 imsrg 93.99475
20 0.5 14 hf 95.73278
20 0.5 14 imsrg 93.97612
20 0.5 14 ccsd 94.1187
20 0.5 16 hf 95.73274
20 0.5 16 imsrg 93.95049
20 0.5 16 ccsd 94.0922
20 0.5 18 hf 95.73274
20 0.5 18 imsrg 93.9337
20 0.5 18 ccsd 94.0747
20 0.5 20 hf 95.73274
20 0.5 20 imsrg 93.92186
20 0.5 20 ccsd 94.0623
20 0.28 6 hf 67.90736
20 0.28 6 imsrg 67.31049
20 0.28 7 hf 66.33661
20 0.28 7 imsrg 65.35869
20 0.28 8 hf 64.75479
20 0.28 8 imsrg 63.6664
20 0.28 9 hf 64.30909
20 0.28 9 imsrg 62.9466
20 0.28 10 hf 63.80561
20 0.28 10 imsrg 62.35022
20 0.28 10 ccsd 62.5234
20 0.28 11 hf 63.69533
20 0.28 11 imsrg 62.13682
20 0.28 12 hf 63.56727
20 0.28 12 imsrg 62.01239
20 0.28 12 ccsd 62.1948
20 0.28 13 hf 63.55277
20 0.28 13 imsrg 61.98829
20 0.28 14 hf 63.5394
20 0.28 14 imsrg 61.97226
20 0.28 14 ccsd 62.1476
20 0.28 16 hf 63.53881
20 0.28 16 imsrg 61.95845
20 0.28 16 ccsd 62.1312
20 0.28 18 hf 63.5388
20 0.28 18 imsrg 61.94968
20 0.28 18 ccsd 62.1207
20 0.28 20 hf 63.5388
20 0.28 20 imsrg 61.94362
20 0.28 20 ccsd 62.1134
20 0.1 6 hf 35.57216
20 0.1 6 imsrg 35.06703
20 0.1 7 hf 34.23072
20 0.1 7 imsrg 32.11004
20 0.1 8 hf 32.90761
20 0.1 8 imsrg 32.11003
20 0.1 10 hf 31.82309
20 0.1 10 imsrg 30.70206
20 0.1 10 ccsd 30.9173
20 0.1 11 hf 31.60656
20 0.1 11 imsrg 30.26807
20 0.1 12 hf 31.35975
20 0.1 12 imsrg 30.1085
20 0.1 12 ccsd 30.3592
20 0.1 13 hf 31.28027
20 0.1 13 imsrg 29.99937
20 0.1 14 hf 31.19017
20 0.1 14 imsrg 29.96846
20 0.1 16 hf 31.14599
20 0.1 16 imsrg 29.95255
20 0.1 18 hf 31.13953
20 0.1 18 imsrg 29.95236
20 0.1 20 hf 31.13922
20 0.1 20 imsrg 29.95263
30 1.0 7 hf 322.6847
30 1.0 7 imsrg 321.6779
30 1.0 8 hf 318.4354
30 1.0 8 imsrg 316.8561
30 1.0 9 hf 314.08
30 1.0 9 imsrg 312.189
30 1.0 10 hf 313.1707
30 1.0 10 imsrg 310.8837
30 1.0 10 ccsd 311.0017
30 1.0 11 hf 312.139
30 1.0 11 imsrg 309.6182
30 1.0 12 hf 312.0104
30 1.0 12 imsrg 309.314
30 1.0 12 ccsd 309.4549
30 1.0 13 hf 311.8694
30 1.0 13 imsrg 309.0741
30 1.0 14 hf 311.8639
30 1.0 14 imsrg 308.9924
30 1.0 14 ccsd 309.1373
30 1.0 16 hf 311.8603
30 1.0 16 imsrg 308.8829
30 1.0 16 ccsd 309.03
30 1.0 18 hf 311.86
30 1.0 18 imsrg 308.8143
30 1.0 18 ccsd 308.9623
30 1.0 20 hf 311.86
30 1.0 20 imsrg 308.7673
30 1.0 20 ccsd 308.9157
30 0.5 7 hf 202.1003
30 0.5 7 imsrg 201.21
30 0.5 8 hf 197.7891
30 0.5 8 imsrg nan
30 0.5 9 hf 193.5541
30 0.5 9 imsrg 191.9332
30 0.5 10 hf 192.2256
30 0.5 10 imsrg 190.2075
30 0.5 10 ccsd 190.3676
30 0.5 11 hf 190.8102
30 0.5 11 imsrg 189.244
30 0.5 12 hf 190.4624
30 0.5 12 imsrg 187.9951
30 0.5 12 ccsd 188.2003
30 0.5 13 hf 190.0695
30 0.5 13 imsrg 187.5046
30 0.5 14 hf 190.0072
30 0.5 14 imsrg 187.3669
30 0.5 14 ccsd 187.5791
30 0.5 16 hf 189.9396
