# num_shells num_filled freq ml p   label energy
          10          2 0.28  0   8 add   2.085678574353676
          10          2 0.28  0   1 rm    1.5158406687223787
          10          2 0.28  1  14 add   2.271999231754881
          10          2 0.28  1   5 rm    1.6824679648161154
          10          2 0.28  2   7 add   2.033463035421894
          10          2  1.0  0   8 add   5.554945509798588
          10          2  1.0  0   1 rm    3.569458604169088
          10          2  1.0  1  14 add   6.332036296494644
          10          2  1.0  1   5 rm    4.315881905415143
          10          2  1.0  2   7 add   5.45456973497902
          10          3 0.28  0  24 add   3.323161417686582
          10          3 0.28  0   9 rm    2.8223936977596815
          10          3 0.28  1  14 add   3.143306236455246
          10          3 0.28  1   5 rm    2.6514150397680685
          10          3 0.28  2  22 add   3.311980151524679
          10          3 0.28  2  11 rm    2.7873897973109054
          10          3  1.0  0  24 add   8.917833222498436
          10          3  1.0  0   9 rm    7.221415526455227
          10          3  1.0  1  14 add   8.279719639153775
          10          3  1.0  1   5 rm    6.519358121380842
          10          3  1.0  2  22 add   8.963268539055377
          10          3  1.0  2  11 rm    7.1481330392911415
          10          4 0.28  0  24 add   4.320509104619753
          10          4 0.28  0   9 rm    3.8277872810206657
          10          4 0.28  1  34 add   4.488765454694372
          10          4 0.28  1  17 rm    3.9757577888347733
          10          4 0.28  2  22 add   4.286301449213218
          10          4 0.28  2  11 rm    3.8006779316959682
          10          4  1.0  0  24 add   11.177539430443712
          10          4  1.0  0   9 rm    9.541958554250831
          10          4  1.0  1  34 add   11.819296461124761
          10          4  1.0  1  17 rm    10.170044691102325
          10          4  1.0  2  22 add   11.112493338027416
          10          4  1.0  2  11 rm    9.488314335741146
          11          2 0.28  0   8 add   2.0856346986773864
          11          2 0.28  0   1 rm    1.515727447871793
          11          2 0.28  1  14 add   2.2719659961128875
          11          2 0.28  1   5 rm    1.6823990875455535
          11          2 0.28  2   7 add   2.0334010887877625
          11          2  1.0  0   8 add   5.554879343386678
          11          2  1.0  0   1 rm    3.5692844335579066
          11          2  1.0  1  14 add   6.3320218728590065
          11          2  1.0  1   5 rm    4.3157870565494
          11          2  1.0  2   7 add   5.454498835003114
          11          3 0.28  0  24 add   3.318460341485118
          11          3 0.28  0   9 rm    2.8218811292767105
          11          3 0.28  1  14 add   3.142547207328231
          11          3 0.28  1   5 rm    2.65086471025076
          11          3 0.28  2  22 add   3.307642881731725
          11          3 0.28  2  11 rm    2.786905423322391
          11          3  1.0  0  24 add   8.922885536613906
          11          3  1.0  0   9 rm    7.221297848849865
          11          3  1.0  1  14 add   8.27962260975672
          11          3  1.0  1   5 rm    6.519110236256372
          11          3  1.0  2  22 add   8.963380804581497
          11          3  1.0  2  11 rm    7.147998097341996
          11          4 0.28  0  24 add   4.272700844697961
          11          4 0.28  0   9 rm    3.8185970437892274
          11          4 0.28  1  34 add   4.441592095366451
          11          4 0.28  1  17 rm    3.966009577121437
          11          4 0.28  2  22 add   4.244782524989766
          11          4 0.28  2  11 rm    3.7932337361057873
          11          4  1.0  0  24 add   11.166271138088495
          11          4  1.0  0   9 rm    9.542399397894128
          11          4  1.0  1  34 add   11.787857647263099
          11          4  1.0  1  17 rm    10.169669625557425
          11          4  1.0  2  22 add   11.103870596923224
          11          4  1.0  2  11 rm    9.489022313495607
          12          2 0.28  0   8 add   2.08560124002771
          12          2 0.28  0   1 rm    1.5156413037928538
          12          2 0.28  1  14 add   2.2719401264976926
          12          2 0.28  1   5 rm    1.6823462529686455
          12          2 0.28  2   7 add   2.033351910146398
          12          2  1.0  0   8 add   5.554818556748628
          12          2  1.0  0   1 rm    3.569150148952929
          12          2  1.0  1  14 add   6.332005086827539
          12          2  1.0  1   5 rm    4.315714019176911
          12          2  1.0  2   7 add   5.454434520875032
          12          3 0.28  0  24 add   3.31814420123748
          12          3 0.28  0   9 rm    2.821796418791948
          12          3 0.28  1  14 add   3.1422119785460882
          12          3 0.28  1   5 rm    2.650719953427504
          12          3 0.28  2  22 add   3.3073976158979796
          12          3 0.28  2  11 rm    2.7868023366922965
          12          3  1.0  0  24 add   8.923835106392996
          12          3  1.0  0   9 rm    7.221183453770971
          12          3  1.0  1  14 add   8.279540065239024
          12          3  1.0  1   5 rm    6.5188942946528385
          12          3  1.0  2  22 add   8.963405082877825
          12          3  1.0  2  11 rm    7.14787308644278
          12          4 0.28  0  24 add   4.2595564825799075
          12          4 0.28  0   9 rm    3.8100154470988827
          12          4 0.28  1  34 add   4.399198229617082
          12          4 0.28  1  17 rm    3.9553096059875124
          12          4 0.28  2  22 add   4.233468671441146
          12          4 0.28  2  11 rm    3.7849633388044497
          12          4  1.0  0  24 add   11.165747677414325
          12          4  1.0  0   9 rm    9.541901443729493
          12          4  1.0  1  34 add   11.805301269323445
          12          4  1.0  1  17 rm    10.169311222160063
          12          4  1.0  2  22 add   11.10347170369657
          12          4  1.0  2  11 rm    9.488491417482868
          13          2 0.28  0   8 add   2.085575651181454
          13          2 0.28  0   1 rm    1.5155758857175763
          13          2 0.28  1  14 add   2.271918249491069
          13          2 0.28  1   5 rm    1.6823059616229197
          13          2 0.28  2   7 add   2.0333139357937084
          13          2  1.0  0   8 add   5.554769914939648
          13          2  1.0  0   1 rm    3.5690462762370556
          13          2  1.0  1  14 add   6.331981697791652
          13          2  1.0  1   5 rm    4.315656747983359
          13          2  1.0  2   7 add   5.454384659751062
          13          3 0.28  0  24 add   3.318040748648417
          13          3 0.28  0   9 rm    2.821729363647397
          13          3 0.28  1  14 add   3.1421522226564753
          13          3 0.28  1   5 rm    2.6506078261864507
          13          3 0.28  2  22 add   3.3073146711927843
          13          3 0.28  2  11 rm    2.786724375588336
          13          3  1.0  0  24 add   8.924586297534248
          13          3  1.0  0   9 rm    7.2210947605765705
          13          3  1.0  1  14 add   8.279461029487004
          13          3  1.0  1   5 rm    6.518730158768858
          13          3  1.0  2  22 add   8.963413343531165
          13          3  1.0  2  11 rm    7.147778757912366
          13          4 0.28  0  24 add   4.251354084120829
          13          4 0.28  0   9 rm    3.808955629400359
          13          4 0.28  1  34 add   4.404614466978271
          13          4 0.28  1  17 rm    3.9542049236517953
          13          4 0.28  2  22 add   4.226843659449794
          13          4 0.28  2  11 rm    3.7840287616095085
          13          4  1.0  0  24 add   11.165512249073371
          13          4  1.0  0   9 rm    9.541675394474039
          13          4  1.0  1  34 add   11.805164766729336
          13          4  1.0  1  17 rm    10.169183564912467
          13          4  1.0  2  22 add   11.103268178289694
