# time taken (in seconds) for various kinds of ground state calculations
# benchmarked on Fei's old office computer (rip 2013-2016)
num_shells num_filled freq method time
12 2 1.0 imsrg 2898.53
12 2 1.0 mp2 0.000338359
12 3 0.1 hf 9.40061e-05
12 3 0.1 imsrg 6085.42
12 3 0.1 mp2 0.000610833
12 3 0.28 hf 0.000311274
12 3 0.28 imsrg 4515.25
12 3 0.28 mp2 0.000621695
12 3 1.0 hf 0.00030031
12 3 1.0 imsrg 3471.54
12 3 1.0 mp2 0.000619639
13 1 0.28 hf 0.00010656
13 1 0.28 imsrg 6645.92
13 1 0.28 mp2 0.000168314
13 1 1.0 hf 0.000126119
13 1 1.0 imsrg 4799.78
13 1 1.0 mp2 0.000173378
13 2 0.1 hf 0.000110675
13 2 0.1 imsrg 11133.7
13 2 0.1 mp2 0.000455633
13 2 0.28 hf 9.39079e-05
13 2 0.28 imsrg 7709.73
13 2 0.28 mp2 0.000454778
13 2 1.0 hf 8.9013e-05
13 2 1.0 imsrg 5737.72
13 2 1.0 mp2 0.00043902
13 3 0.1 hf 0.000315039
13 3 0.1 imsrg 12428.7
13 3 0.1 mp2 0.000835559
13 3 0.28 hf 0.000313337
13 3 0.28 imsrg 8495.82
13 3 0.28 mp2 0.000855325
13 3 1.0 hf 9.9462e-05
13 3 1.0 imsrg 6488.83
13 3 1.0 mp2 0.000846421
14 1 0.28 hf 0.000299294
14 1 0.28 imsrg 12243.1
14 1 0.28 mp2 0.000190108
14 1 1.0 hf 0.000311139
14 1 1.0 imsrg 8939.8
14 1 1.0 mp2 0.000191575
14 2 0.1 hf 0.000309595
14 2 0.1 imsrg 21302.7
14 2 0.1 mp2 0.000623733
14 2 0.28 hf 0.000108949
14 2 0.28 imsrg 14024.3
14 2 0.28 mp2 0.000609681
14 2 1.0 hf 8.1736e-05
14 2 1.0 imsrg 10559.4
14 2 1.0 mp2 0.000540674
14 3 0.1 hf 0.000305728
14 3 0.1 imsrg 21929.2
14 3 0.1 mp2 0.00108115
14 3 0.28 hf 0.000311997
14 3 0.28 imsrg 16033.1
14 3 0.28 mp2 0.00110258
14 3 1.0 hf 0.000101523
14 3 1.0 imsrg 12375.7
14 3 1.0 mp2 0.00112032
