# term_ids 3 and 4: QDPT2
# term_ids 5 to 22: QDPT3
#
# Functional dependencies:
#
#   * (num_shells, num_filled, freq, method, p, term_id) -> correction
#
interaction num_shells num_filled freq method p term_id correction
normal 2 1 0.5 imsrg 0 4 0.0
normal 2 1 0.5 imsrg 0 5 1.4238532256945286e-10
normal 2 1 0.5 imsrg 0 6 0.0
normal 2 1 0.5 imsrg 0 7 0.0
normal 2 1 0.5 imsrg 0 8 0.0
normal 2 1 0.5 imsrg 0 9 1.6638674606639182e-10
normal 2 1 0.5 imsrg 0 10 1.6638674606639182e-10
normal 2 1 0.5 imsrg 0 11 -1.6638674606639184e-10
normal 2 1 0.5 imsrg 0 12 2.656388768785117e-10
normal 2 1 0.5 imsrg 0 13 0.0
normal 2 1 0.5 imsrg 0 14 0.0
normal 2 1 0.5 imsrg 0 15 0.0
normal 2 1 0.5 imsrg 0 16 0.0
normal 2 1 0.5 imsrg 0 17 -2.656388768785117e-10
normal 2 1 0.5 imsrg 0 18 -2.656388768785117e-10
normal 2 1 0.5 imsrg 0 19 -2.6563887687851174e-10
normal 2 1 0.5 imsrg 0 20 0.0
normal 2 1 0.5 imsrg 0 21 0.0
normal 2 1 0.5 imsrg 0 22 0.0
normal 2 1 0.5 imsrg 4 3 0.0
normal 2 1 0.5 imsrg 4 4 1.9477063487551348e-10
normal 2 1 0.5 imsrg 4 5 0.0
normal 2 1 0.5 imsrg 4 6 7.119266128461127e-11
normal 2 1 0.5 imsrg 4 7 -7.119266128461128e-11
normal 2 1 0.5 imsrg 4 8 -8.319337303303501e-11
normal 2 1 0.5 imsrg 4 9 0.0
normal 2 1 0.5 imsrg 4 10 0.0
normal 2 1 0.5 imsrg 4 11 -2.6563887687851117e-10
normal 2 1 0.5 imsrg 4 12 1.736045157498685e-10
normal 2 1 0.5 imsrg 4 13 0.0
normal 2 1 0.5 imsrg 4 14 0.0
normal 2 1 0.5 imsrg 4 15 0.0
normal 2 1 0.5 imsrg 4 16 0.0
normal 2 1 0.5 imsrg 4 17 0.0
normal 2 1 0.5 imsrg 4 18 0.0
normal 2 1 0.5 imsrg 4 19 0.0
normal 2 1 0.5 imsrg 4 20 1.3281943843899872e-10
normal 2 1 0.5 imsrg 4 21 1.3281943843899872e-10
normal 2 1 0.5 imsrg 4 22 1.3281943843899872e-10
normal 2 1 1.0 hf 0 3 -0.07475263641846433
normal 2 1 1.0 hf 0 4 0.0
normal 2 1 1.0 hf 0 5 0.031209810370734798
normal 2 1 1.0 hf 0 6 0.0
normal 2 1 1.0 hf 0 7 0.0
normal 2 1 1.0 hf 0 8 0.0
normal 2 1 1.0 hf 0 9 0.03566835470941117
normal 2 1 1.0 hf 0 10 0.03566835470941117
normal 2 1 1.0 hf 0 11 -0.03566835470941117
normal 2 1 1.0 hf 0 12 0.04458544338676398
normal 2 1 1.0 hf 0 13 0.0
normal 2 1 1.0 hf 0 14 0.0
normal 2 1 1.0 hf 0 15 0.0
normal 2 1 1.0 hf 0 16 0.0
normal 2 1 1.0 hf 0 17 -0.044585443386763984
normal 2 1 1.0 hf 0 18 -0.044585443386763984
normal 2 1 1.0 hf 0 19 -0.04458544338676398
normal 2 1 1.0 hf 0 20 0.0
normal 2 1 1.0 hf 0 21 0.0
normal 2 1 1.0 hf 0 22 0.0
normal 2 1 1.0 hf 4 3 0.0
