num_shells	num_filled	freq	method	energy
9	5	0.1	imsrg	66.91278434529202
9	5	0.1	mp2	67.02692709904991
9	5	0.28	hf	131.15362710865313
9	5	0.28	imsrg	129.74635965082348
9	5	0.28	mp2	129.78902771413664
9	5	1.0	hf	314.08002684937424
9	5	1.0	imsrg	312.18902846988885
9	5	1.0	mp2	312.16670836665935
9	7	1.0	hf	943.1459911153559
9	7	1.0	imsrg	941.6160630612554
9	7	1.0	mp2	941.4745605201188
10	1	0.28	hf	1.1417125796139904
10	1	0.28	imsrg	0.9973248769739572
10	1	0.28	mp2	1.025500811116041
10	1	1.0	hf	3.161908943432632
10	1	1.0	imsrg	2.9961234400388674
10	1	1.0	mp2	3.01344668508486
10	2	0.1	hf	3.8523927098122286
10	2	0.1	imsrg	3.4932961005470573
10	2	0.1	mp2	3.5611346244173667
10	2	0.28	hf	8.019570964302
10	2	0.28	imsrg	7.576352368501351
10	2	0.28	mp2	7.629943155206533
10	2	1.0	hf	20.719217056438385
10	2	1.0	imsrg	20.184084510158797
10	2	1.0	mp2	20.224316940091004
10	3	0.1	hf	12.96987237222771
10	3	0.1	imsrg	12.213815327514443
10	3	0.1	mp2	12.351906628421453
10	3	0.28	hf	26.55443169110841
10	3	0.28	imsrg	25.648402235174174
10	3	0.28	mp2	25.73471350852759
10	3	1.0	hf	66.9120351319319
10	3	1.0	imsrg	65.82644806193642
10	3	1.0	mp2	65.88479301774808
10	4	0.1	hf	31.823086885660043
10	4	0.1	imsrg	30.702070162526788
10	4	0.1	mp2	30.907559637359125
10	4	0.28	hf	63.80561220356212
10	4	0.28	imsrg	62.35026032680066
10	4	0.28	mp2	62.500120271593076
10	4	1.0	hf	158.01766678457128
10	4	1.0	imsrg	156.27042351960787
10	4	1.0	mp2	156.33543616174393
10	5	0.28	hf	129.62464300179522
10	5	0.28	imsrg	127.84746017953574
10	5	0.28	mp2	127.92655189479525
10	5	1.0	hf	313.17073345660845
10	5	1.0	imsrg	310.88370957723043
10	5	1.0	mp2	310.9097872994006
10	6	1.0	hf	555.393205049303
10	6	1.0	imsrg	553.04380223321
10	6	1.0	mp2	552.9427461335251
11	1	0.28	hf	1.1417119960206252
11	1	0.28	imsrg	0.9972549561438571
11	1	0.28	mp2	1.0241144110475122
11	1	1.0	hf	3.16190860901365
11	1	1.0	imsrg	2.995368553304228
11	1	1.0	mp2	3.011562389516064
11	2	0.1	hf	3.85239085383425
11	2	0.1	imsrg	3.493984860121003
11	2	0.1	mp2	3.5558775071550874
11	2	0.28	hf	8.01957087770659
11	2	0.28	imsrg	7.57519142187663
11	2	0.28	mp2	7.622941255027149
11	2	1.0	hf	20.719215431730746
11	2	1.0	imsrg	20.178535715996347
11	2	1.0	mp2	20.21445484165067
11	3	0.1	hf	12.933578294404988
11	3	0.1	imsrg	12.218495401543858
11	3	0.1	mp2	12.30331642059479
11	3	0.28	hf	26.550044920189062
11	3	0.28	imsrg	25.640912580829166
11	3	0.28	mp2	25.709210796831137
11	3	1.0	hf	66.91136453018214
11	3	1.0	imsrg	65.8034932452236
11	3	1.0	mp2	65.8527623720197
11	4	0.1	hf	31.606556239481915
11	4	0.1	imsrg	30.268117799471575
11	4	0.1	mp2	30.579000392892024
11	4	0.28	hf	63.695332531637554
11	4	0.28	imsrg	62.13683574905838
11	4	0.28	mp2	62.29147847499537
11	4	1.0	hf	158.01027630012817
11	4	1.0	imsrg	156.19251079047072
11	4	1.0	mp2	156.2489953927696
11	5	0.1	hf	65.02427196853566
11	5	0.1	imsrg	63.62586153728569
11	5	0.1	mp2	63.762087672861256
11	5	0.28	hf	128.06393344994606
11	5	0.28	imsrg	126.13782396063121
11	5	0.28	mp2	126.24607666537473
11	5	1.0	hf	312.1390113713778
11	5	1.0	imsrg	309.6182227832148
11	5	1.0	mp2	309.65124813528655
11	6	1.0	hf	552.4724925700435
11	6	1.0	imsrg	549.5708005694911
11	6	1.0	mp2	549.486332603113
11	7	1.0	hf	906.165846059916
11	7	1.0	imsrg	903.3154471727736
11	7	1.0	mp2	903.137844812108
12	1	0.28	hf	1.1417119961877666
12	1	0.28	imsrg	0.9972049105623458
12	1	0.28	mp2	1.022949846911767
12	1	1.0	hf	3.16190860901365
12	1	1.0	imsrg	2.9947634246166404
12	1	1.0	mp2	3.009986724388934
12	2	0.1	hf	3.8523815305524463
12	2	0.1	imsrg	3.4943750959812823
12	2	0.1	mp2	3.551577051957816
12	2	0.28	hf	8.01957008212735
12	2	0.28	imsrg	7.574309398381273
12	2	0.28	mp2	7.617158193997368
12	2	1.0	hf	20.719215427064782
12	2	1.0	imsrg	20.174249099019075
12	2	1.0	mp2	20.206357095484037
12	3	0.1	hf	12.92921525523881
12	3	0.1	imsrg	12.218193255451192
12	3	0.1	mp2	12.284868292346877
12	3	0.28	hf	26.550035392912807
12	3	0.28	imsrg	25.636196033378187
12	3	0.28	mp2	25.690666034933592
12	3	1.0	hf	66.91136401807958
12	3	1.0	imsrg	65.78624147939338
12	3	1.0	mp2	65.82764925647868
12	4	0.1	hf	31.359746956613265
12	4	0.1	imsrg	30.108515440012322
12	4	0.1	mp2	30.293098881947962
12	4	0.28	hf	63.56726693850579
12	4	0.28	imsrg	62.01245943295314
12	4	0.28	mp2	62.111757897577526
12	4	1.0	hf	158.00495140552147
12	4	1.0	imsrg	156.13712949890885
12	4	1.0	mp2	156.18186528841363
12	5	0.28	hf	127.51618102176799
12	5	0.28	imsrg	125.32091717503691
12	5	0.28	mp2	125.47849004881608
12	5	1.0	hf	312.0104182176216
12	5	1.0	imsrg	309.3140699388652
12	5	1.0	mp2	309.3534946002996
12	6	0.28	hf	229.03349029961825
12	6	0.28	imsrg	226.63227576013452
12	6	0.28	mp2	226.66460605191642
12	6	1.0	hf	549.3883843222997
12	6	1.0	imsrg	546.1358169562226
12	6	1.0	mp2	546.0857293726593
13	1	0.28	hf	1.141711954866618
13	1	0.28	imsrg	0.9971675760466322
13	1	0.28	mp2	1.021956707551853
13	1	1.0	hf	3.161908466430935
13	1	1.0	imsrg	2.9942683913775823
13	1	1.0	mp2	3.008652311577643
13	2	0.1	hf	3.852381461374195
13	2	0.1	imsrg	3.494739908712267
