# Addition and removal energies using IMSRG
#
# is_hole: 0 => addition energy, 1 => removal energy
#
num_shells	num_filled	freq	method	is_hole	energy
3	2	1.0	IMSRG	0	6.945711742737166
3	2	1.0	IMSRG+QPT2	1	5.730323411818466
3	2	1.0	IMSRG+QPT2	0	6.9404842545674
3	2	1.0	IMSRG+QPT3	1	5.733880385306876
3	2	1.0	IMSRG+QPT3	0	6.9395006288116425
4	1	0.1	HF	1	0.40551285055609076
4	1	0.1	HF	0	0.6017731571910563
4	1	0.1	HF+QPT2	1	0.3412748611404236
4	1	0.1	HF+QPT2	0	0.559225202341469
4	1	0.1	HF+QPT3	1	0.3391254908252011
4	1	0.1	HF+QPT3	0	0.5872874095379406
4	1	0.1	IMSRG	1	0.2543402970772201
4	1	0.1	IMSRG	0	0.6455803292777614
4	1	0.1	IMSRG+QPT2	1	0.26070601389495335
4	1	0.1	IMSRG+QPT2	0	0.5548045749191886
4	1	0.1	IMSRG+QPT3	1	0.265208066114163
4	1	0.1	IMSRG+QPT3	0	0.5323143491266283
4	1	0.28	HF	1	0.8307796752926341
4	1	0.28	HF	0	1.2739768372308262
4	1	0.28	HF+QPT2	1	0.7553996855134896
4	1	0.28	HF+QPT2	0	1.2245875107789417
4	1	0.28	HF+QPT3	1	0.7499411275955452
4	1	0.28	HF+QPT3	0	1.2553037627845736
4	1	0.28	IMSRG	1	0.6911385400076245
4	1	0.28	IMSRG	0	1.3166274824477773
4	1	0.28	IMSRG+QPT2	1	0.7080516619542986
4	1	0.28	IMSRG+QPT2	0	1.2480190484987284
4	1	0.28	IMSRG+QPT3	1	0.7162746703627682
4	1	0.28	IMSRG+QPT3	0	1.2411339553655774
4	1	0.5	HF	1	1.264064331326695
4	1	0.5	HF	0	1.9832392218349288
4	1	0.5	HF+QPT2	1	1.1839427825003916
4	1	0.5	HF+QPT2	0	1.9323891626226448
4	1	0.5	HF+QPT3	1	1.1764923299150278
4	1	0.5	HF+QPT3	0	1.96282622209509
4	1	0.5	IMSRG	1	1.1192063705237458
4	1	0.5	IMSRG	0	2.0276126049720817
4	1	0.5	IMSRG+QPT2	1	1.1435698985163334
4	1	0.5	IMSRG+QPT2	0	1.9512392140988748
4	1	0.5	IMSRG+QPT3	1	1.1525412030749247
4	1	0.5	IMSRG+QPT3	0	1.944296825738816
4	1	1.0	HF	1	2.1223489045455874
4	1	1.0	HF	0	3.4335521795272412
4	1	1.0	HF+QPT2	1	2.037558542456564
4	1	1.0	HF+QPT2	0	3.3830073265830105
4	1	1.0	HF+QPT3	1	2.0283811597364614
4	1	1.0	HF+QPT3	0	3.411456664938348
4	1	1.0	IMSRG	1	1.972371209752495
4	1	1.0	IMSRG	0	3.480008310070354
4	1	1.0	IMSRG+QPT2	1	2.0051226905826134
4	1	1.0	IMSRG+QPT2	0	3.3966668908289206
4	1	1.0	IMSRG+QPT3	1	2.0132578815021427
4	1	1.0	IMSRG+QPT3	0	3.38996201963408
4	2	0.1	HF	1	1.1407305835324317
4	2	0.1	HF	0	1.4049358919477575
4	2	0.1	HF+QPT2	1	1.1436554821682494
4	2	0.1	HF+QPT2	0	1.3885034247280026
4	2	0.1	HF+QPT3	1	1.1842578201026788
4	2	0.1	HF+QPT3	0	1.458278242989828
4	2	0.1	IMSRG	1	1.0676059837020515
4	2	0.1	IMSRG	0	1.4619437531197732
4	2	0.1	IMSRG+QPT2	1	1.1092925170369563
4	2	0.1	IMSRG+QPT2	0	1.392272096358522
4	2	0.1	IMSRG+QPT3	1	1.1321845554617513
4	2	0.1	IMSRG+QPT3	0	1.3809215554543552
4	2	0.28	HF	1	2.2148989303768887
4	2	0.28	HF	0	2.7364642071595573
4	2	0.28	HF+QPT2	1	2.2107740926829846
4	2	0.28	HF+QPT2	0	2.7167567992344517
4	2	0.28	HF+QPT3	1	2.2470954967320376
4	2	0.28	HF+QPT3	0	2.7907640159844758
4	2	0.28	IMSRG	1	2.1155289586608053
4	2	0.28	IMSRG	0	2.8213675953896966
4	2	0.28	IMSRG+QPT2	1	2.173479547933194
4	2	0.28	IMSRG+QPT2	0	2.766692971456541
4	2	0.28	IMSRG+QPT3	1	2.1953979126893244
4	2	0.28	IMSRG+QPT3	0	2.7541700116498147
4	2	0.5	HF	1	3.279039345695352
4	2	0.5	HF	0	4.0710427048704965
4	2	0.5	HF+QPT2	1	3.2703440412818647
4	2	0.5	HF+QPT2	0	4.050343112613194
4	2	0.5	HF+QPT3	1	3.299306272152436
4	2	0.5	HF+QPT3	0	4.120094174213541
4	2	0.5	IMSRG	1	3.164152099014747
4	2	0.5	IMSRG	0	4.161133491276377
4	2	0.5	IMSRG+QPT2	1	3.2339116751659973
4	2	0.5	IMSRG+QPT2	0	4.093375767385377
4	2	0.5	IMSRG+QPT3	1	3.2536791471703967
4	2	0.5	IMSRG+QPT3	0	4.080772526215627
4	2	1.0	HF	1	5.341281984631985
4	2	1.0	HF	0	6.696364843187896
4	2	1.0	HF+QPT2	1	5.32800519880236
4	2	1.0	HF+QPT2	0	6.675228671982736
4	2	1.0	HF+QPT3	1	5.345651478686083
4	2	1.0	HF+QPT3	0	6.734676468933661
4	2	1.0	IMSRG	1	5.209971902749051
4	2	1.0	IMSRG	0	6.790356257422294
4	2	1.0	IMSRG+QPT2	1	5.294616674759038
4	2	1.0	IMSRG+QPT2	0	6.70805715677831
4	2	1.0	IMSRG+QPT3	1	5.310256484433691
4	2	1.0	IMSRG+QPT3	0	6.696677291035207
4	3	0.5	HF	1	6.5823289561097384
4	3	0.5	HF	0	6.768692050749182
4	3	0.5	HF+QPT2	1	6.522265020313083
4	3	0.5	HF+QPT2	0	6.870454148977247
4	3	0.5	HF+QPT3	1	6.495816414819321
4	3	0.5	HF+QPT3	0	6.91920710698838
4	3	0.5	IMSRG	1	6.440290054180804
4	3	0.5	IMSRG	0	6.869110419399922
4	3	0.5	IMSRG+QPT2	1	6.467970450932878
4	3	0.5	IMSRG+QPT2	0	6.867693164120436
4	3	0.5	IMSRG+QPT3	1	6.474035536083774
4	3	0.5	IMSRG+QPT3	0	6.86751918087355
4	3	1.0	HF	1	10.142675528345677
4	3	1.0	HF	0	10.777849201600358
4	3	1.0	HF+QPT2	1	10.12259235850916
4	3	1.0	HF+QPT2	0	10.879829773711734
4	3	1.0	HF+QPT3	1	10.100463512669773
4	3	1.0	HF+QPT3	0	10.911568887137799
4	3	1.0	IMSRG	1	10.029348076789313
4	3	1.0	IMSRG	0	10.874457087145622
4	3	1.0	IMSRG+QPT2	1	10.085678560471905
4	3	1.0	IMSRG+QPT2	0	10.871627669495345
4	3	1.0	IMSRG+QPT3	1	10.095227903238532
4	3	1.0	IMSRG+QPT3	0	10.871354872642653
5	1	0.28	HF	1	0.8303920535459853
5	1	0.28	HF	0	1.273467819662324
5	1	0.28	HF+QPT2	1	0.7505272117702062
5	1	0.28	HF+QPT2	0	1.216257545665049
5	1	0.28	HF+QPT3	1	0.7504004384059083
5	1	0.28	HF+QPT3	0	1.253525081223681
5	1	0.28	IMSRG	1	0.6910789894600201
5	1	0.28	IMSRG	0	1.3202410903501962
5	1	0.28	IMSRG+QPT2	1	0.7063773535644043
5	1	0.28	IMSRG+QPT2	0	1.2433656132478548
5	1	0.28	IMSRG+QPT3	1	0.7138304012792721
5	1	0.28	IMSRG+QPT3	0	1.2416242043156471
5	1	0.5	HF	1	1.2644621574972865
5	1	0.5	HF	0	1.9840139062387634
5	1	0.5	HF+QPT2	1	1.1763855647527561
5	1	0.5	HF+QPT2	0	1.9250528193868868
5	1	0.5	HF+QPT3	1	1.1730792713714104
5	1	0.5	HF+QPT3	0	1.9604910522988388
5	1	0.5	IMSRG	1	1.1171827006278863
5	1	0.5	IMSRG	0	2.0310990062462344
5	1	0.5	IMSRG+QPT2	1	1.13932024536015
5	1	0.5	IMSRG+QPT2	0	1.945200012101609
5	1	0.5	IMSRG+QPT3	1	1.1475796299460723
5	1	0.5	IMSRG+QPT3	0	1.9423971499974027
5	1	1.0	HF	1	2.1224647454063015
5	1	1.0	HF	0	3.4351271466268387
5	1	1.0	HF+QPT2	1	2.0264044481768373
5	1	1.0	HF+QPT2	0	3.3752347587270553
5	1	1.0	HF+QPT3	1	2.0207526083567893
5	1	1.0	HF+QPT3	0	3.407137150819457
5	1	1.0	IMSRG	1	1.9667211565038643
5	1	1.0	IMSRG	0	3.4833098925165324
5	1	1.0	IMSRG+QPT2	1	1.9968718089824335
5	1	1.0	IMSRG+QPT2	0	3.388724642363242
