# iter = 0: without QDPT3 correction
# iter = 1: includes QDPT3 correction
#
# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method, p) -> correction
#
interaction num_shells num_filled freq method p iter energy
normal 5 1 0.28 imsrg 0 1 0.713830401279272
normal 5 1 0.28 imsrg 4 0 1.3202410903501962
normal 5 1 0.28 imsrg 4 1 1.2416242043156471
normal 5 1 0.28 imsrg 8 0 1.5511871032275346
normal 5 1 0.28 imsrg 8 1 1.4877633502998928
normal 5 1 0.28 imsrg 10 0 1.5001824295016057
normal 5 1 0.28 imsrg 10 1 1.3994888798515521
normal 5 1 0.5 hf 0 0 1.2644621574972863
normal 5 1 0.5 hf 0 1 1.1730792713714102
normal 5 1 0.5 hf 4 0 1.9840139062387636
normal 5 1 0.5 hf 4 1 1.9604910522988395
normal 5 1 0.5 hf 8 0 2.4585108297369227
normal 5 1 0.5 hf 8 1 2.3781766068027426
normal 5 1 0.5 hf 10 0 2.3955574665752075
normal 5 1 0.5 hf 10 1 2.169028323078135
normal 5 1 0.5 imsrg 0 0 1.1171827006278863
normal 5 1 0.5 imsrg 0 1 1.1475796299460725
normal 5 1 0.5 imsrg 4 0 2.0310990062462344
normal 5 1 0.5 imsrg 4 1 1.9423971499974027
normal 5 1 0.5 imsrg 8 0 2.4715021107429322
normal 5 1 0.5 imsrg 8 1 2.39527527930377
normal 5 1 0.5 imsrg 10 0 2.4000078445167374
normal 5 1 0.5 imsrg 10 1 2.257303999486001
normal 5 1 1.0 hf 0 0 2.1224647454063006
normal 5 1 1.0 hf 0 1 2.0207526083567884
normal 5 1 1.0 hf 4 0 3.4351271466268387
normal 5 1 1.0 hf 4 1 3.4071371508194574
normal 5 1 1.0 hf 8 0 4.390488414758278
normal 5 1 1.0 hf 8 1 4.289017260799292
normal 5 1 1.0 hf 10 0 4.294134851059842
normal 5 1 1.0 hf 10 1 3.9594396575880966
normal 5 1 1.0 imsrg 0 0 1.9667211565038643
normal 5 1 1.0 imsrg 0 1 2.0047826077805975
normal 5 1 1.0 imsrg 4 0 3.4833098925165324
normal 5 1 1.0 imsrg 4 1 3.3850301585350575
normal 5 1 1.0 imsrg 8 0 4.404305316222386
normal 5 1 1.0 imsrg 8 1 4.309515012205436
normal 5 1 1.0 imsrg 10 0 4.298219219003908
normal 5 1 1.0 imsrg 10 1 4.076616424320948
normal 5 2 0.28 hf 0 0 1.9840910849823334
normal 5 2 0.28 hf 0 1 2.302660066910756
normal 5 2 0.28 hf 4 0 2.192451943872514
normal 5 2 0.28 hf 4 1 2.1785421613894607
normal 5 2 0.28 hf 8 0 2.6372547110267446
normal 5 2 0.28 hf 8 1 2.592734363610132
normal 5 2 0.28 hf 10 0 2.5680281810022483
normal 5 2 0.28 hf 10 1 2.611065862358421
normal 5 2 0.28 hf 16 0 3.026974474471607
normal 5 2 0.28 hf 16 1 2.497824212258689
normal 5 2 0.28 imsrg 0 0 1.853944226808177
normal 5 2 0.28 imsrg 0 1 1.9537153052917657
normal 5 2 0.28 imsrg 4 0 2.024657134795249
normal 5 2 0.28 imsrg 4 1 2.07708561848718
normal 5 2 0.28 imsrg 8 0 2.6756264327215624
normal 5 2 0.28 imsrg 8 1 2.561181460733879
normal 5 2 0.28 imsrg 10 0 2.660949113358315
normal 5 2 0.28 imsrg 10 1 2.5846698809467243
normal 5 2 0.28 imsrg 16 0 3.0411014105022747
normal 5 2 0.28 imsrg 16 1 2.8296980306738555
normal 5 2 0.5 hf 0 0 2.8887015282502073
normal 5 2 0.5 hf 0 1 3.3040378028547175
normal 5 2 0.5 hf 4 0 3.259851545140464
normal 5 2 0.5 hf 4 1 3.239008073434085
normal 5 2 0.5 hf 8 0 3.9625944920519407
normal 5 2 0.5 hf 8 1 3.9099064562117674
normal 5 2 0.5 hf 10 0 3.872924756006335
normal 5 2 0.5 hf 10 1 3.9018568052210667
normal 5 2 0.5 hf 16 0 4.5945329534948245
normal 5 2 0.5 hf 16 1 3.887426172308277
normal 5 2 0.5 imsrg 0 0 2.7605582029699716
normal 5 2 0.5 imsrg 0 1 2.944032029695608
normal 5 2 0.5 imsrg 4 0 3.0944870432748877
normal 5 2 0.5 imsrg 4 1 3.167398173370227
normal 5 2 0.5 imsrg 8 0 4.010150376866875
normal 5 2 0.5 imsrg 8 1 3.8815065545801066
normal 5 2 0.5 imsrg 10 0 3.960784453135866
normal 5 2 0.5 imsrg 10 1 3.865391640401109
normal 5 2 0.5 imsrg 16 0 4.617602021171149
normal 5 2 0.5 imsrg 16 1 4.269796603795513
normal 5 2 1.0 hf 0 0 4.56345868884108
normal 5 2 1.0 hf 0 1 5.146898105014284
normal 5 2 1.0 hf 4 0 5.327816757220184
normal 5 2 1.0 hf 4 1 5.300326240515389
normal 5 2 1.0 hf 8 0 6.592225290953617
normal 5 2 1.0 hf 8 1 6.526972853671112
normal 5 2 1.0 hf 10 0 6.4637752414382135
normal 5 2 1.0 hf 10 1 6.475363855712069
normal 5 2 1.0 hf 16 0 7.727817125572809
normal 5 2 1.0 hf 16 1 6.727817125572809
normal 5 2 1.0 imsrg 0 0 4.436803513622063
normal 5 2 1.0 imsrg 0 1 4.763213424899584
normal 5 2 1.0 imsrg 4 0 5.159930345248067
normal 5 2 1.0 imsrg 4 1 5.253218604459834
normal 5 2 1.0 imsrg 8 0 6.644606668034652
normal 5 2 1.0 imsrg 8 1 6.5009162372619915
normal 5 2 1.0 imsrg 10 0 6.550539812107537
normal 5 2 1.0 imsrg 10 1 6.4374131452188355
normal 5 2 1.0 imsrg 16 0 7.7555171620713
normal 5 2 1.0 imsrg 16 1 7.111709845660702
normal 5 3 0.1 hf 4 0 2.0328107795278303
normal 5 3 0.1 hf 4 1 2.1013320347383657
normal 5 3 0.1 hf 8 0 2.1214346179848484
normal 5 3 0.1 hf 8 1 2.0999996272450896
normal 5 3 0.1 hf 10 0 2.061280192929261
normal 5 3 0.1 hf 10 1 2.1084047275808433
normal 5 3 0.1 hf 16 0 2.473698922656416
normal 5 3 0.1 hf 16 1 2.4687722543047554
normal 5 3 0.1 hf 24 0 2.5794372793746443
normal 5 3 0.1 hf 24 1 2.5425380544218354
normal 5 3 0.1 hf 26 0 2.5666216113703086
normal 5 3 0.1 hf 26 1 2.486259787470059
normal 5 3 0.1 imsrg 4 0 1.9891943685251976
normal 5 3 0.1 imsrg 4 1 2.07920450499946
normal 5 3 0.1 imsrg 8 0 2.023193471332235
normal 5 3 0.1 imsrg 8 1 2.061362642133276
normal 5 3 0.1 imsrg 10 0 2.0237042953356155
normal 5 3 0.1 imsrg 10 1 2.0886984980151584
normal 5 3 0.1 imsrg 16 0 2.5329652658229485
normal 5 3 0.1 imsrg 16 1 2.433181666577184
normal 5 3 0.1 imsrg 24 0 2.6140861841121286
normal 5 3 0.1 imsrg 24 1 2.545678976946036
normal 5 3 0.1 imsrg 26 0 2.5899619691511395
normal 5 3 0.1 imsrg 26 1 2.470078311239776
normal 5 3 0.28 hf 4 0 3.7505314678693433
normal 5 3 0.28 hf 4 1 3.8732255662808632
normal 5 3 0.28 hf 8 0 3.9306081084213673
normal 5 3 0.28 hf 8 1 3.9568130983089147
normal 5 3 0.28 hf 10 0 3.8944648764355283
normal 5 3 0.28 hf 10 1 3.9495561427566215
normal 5 3 0.28 hf 16 0 4.639245471538762
normal 5 3 0.28 hf 16 1 4.627411715815005
normal 5 3 0.28 hf 24 0 4.913338938435795
normal 5 3 0.28 hf 24 1 4.874260985272077
normal 5 3 0.28 hf 26 0 4.883058092751536
normal 5 3 0.28 hf 26 1 4.792821186158261
normal 5 3 0.28 imsrg 4 0 3.6917444093274927
normal 5 3 0.28 imsrg 4 1 3.8444425072509945
normal 5 3 0.28 imsrg 8 0 3.8367950599709872
normal 5 3 0.28 imsrg 8 1 3.9136748942951924
normal 5 3 0.28 imsrg 10 0 3.8317561241525677
normal 5 3 0.28 imsrg 10 1 3.923487433278415
normal 5 3 0.28 imsrg 16 0 4.7095357381489045
normal 5 3 0.28 imsrg 16 1 4.584797513693257
normal 5 3 0.28 imsrg 24 0 4.956771977833327
normal 5 3 0.28 imsrg 24 1 4.8633037976248685
normal 5 3 0.28 imsrg 26 0 4.91731203480133
normal 5 3 0.28 imsrg 26 1 4.7617822884325856
normal 5 3 0.5 hf 4 0 5.374876220172438
normal 5 3 0.5 hf 4 1 5.546037226302233
normal 5 3 0.5 hf 8 0 5.703143680206126
normal 5 3 0.5 hf 8 1 5.7474753778275405
normal 5 3 0.5 hf 10 0 5.675116769427429
normal 5 3 0.5 hf 10 1 5.729646518644522
normal 5 3 0.5 hf 16 0 6.756506500245591
normal 5 3 0.5 hf 16 1 6.737046101411684
normal 5 3 0.5 hf 24 0 7.231722852446488
normal 5 3 0.5 hf 24 1 7.185016420882642
normal 5 3 0.5 hf 26 0 7.181560747621554
normal 5 3 0.5 hf 26 1 7.082940777354872
normal 5 3 0.5 imsrg 4 0 5.307558272256555
normal 5 3 0.5 imsrg 4 1 5.5113068685119195
normal 5 3 0.5 imsrg 8 0 5.6056641984661395
normal 5 3 0.5 imsrg 8 1 5.704967840392168
normal 5 3 0.5 imsrg 10 0 5.594256508844591
normal 5 3 0.5 imsrg 10 1 5.701155675077735
normal 5 3 0.5 imsrg 16 0 6.834382393641842
normal 5 3 0.5 imsrg 16 1 6.694356975710665
normal 5 3 0.5 imsrg 24 0 7.279153417227515
normal 5 3 0.5 imsrg 24 1 7.1705968483008276
normal 5 3 0.5 imsrg 26 0 7.220294155813121
normal 5 3 0.5 imsrg 26 1 7.045283894343035
normal 5 3 1.0 hf 4 0 8.39605176298157
normal 5 3 1.0 hf 4 1 8.654073403393067
normal 5 3 1.0 hf 8 0 9.10597747945703
normal 5 3 1.0 hf 8 1 9.157540972046531
normal 5 3 1.0 hf 10 0 9.075257607885218
normal 5 3 1.0 hf 10 1 9.122965539090053
normal 5 3 1.0 hf 16 0 10.826851978315927
normal 5 3 1.0 hf 16 1 10.795307039754032
normal 5 3 1.0 hf 24 0 11.756168299739038
normal 5 3 1.0 hf 24 1 11.692584504717644
normal 5 3 1.0 hf 26 0 11.66840430351047
normal 5 3 1.0 hf 26 1 11.547130964619116
normal 5 3 1.0 imsrg 4 0 8.319168129744778
normal 5 3 1.0 imsrg 4 1 8.607507338583652
normal 5 3 1.0 imsrg 8 0 8.997117134613475
normal 5 3 1.0 imsrg 8 1 9.120041015671157
normal 5 3 1.0 imsrg 10 0 8.970659628160828
normal 5 3 1.0 imsrg 10 1 9.094062932238275
normal 5 3 1.0 imsrg 16 0 10.913008031231875
normal 5 3 1.0 imsrg 16 1 10.756546520697333
normal 5 3 1.0 imsrg 24 0 11.806036394001824
normal 5 3 1.0 imsrg 24 1 11.678802433260275
normal 5 3 1.0 imsrg 26 0 11.709888771229949
normal 5 3 1.0 imsrg 26 1 11.509747338330579
normal 6 1 0.28 hf 0 0 0.8303920535459853
normal 6 1 0.28 hf 0 1 0.7507888781130885
