# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method) -> energy
#
interaction num_shells num_filled freq method energy
normal 6 4 0.1 hf 35.57215695863601
normal 6 4 0.1 imsrg 35.06704897020855
normal 6 4 0.1 mp2 35.15723004010897
normal 6 4 0.28 hf 67.90735739070792
normal 6 4 0.28 imsrg 67.31050849687236
normal 6 4 0.28 mp2 67.33546944286294
normal 6 4 1.0 hf 161.3397206671294
normal 6 4 1.0 imsrg 160.56698410226355
normal 6 4 1.0 mp2 160.54522776046556
normal 7 1 0.28 hf 1.1417172629191237
normal 7 1 0.28 imsrg 0.9978255409239705
normal 7 1 0.28 mp2 1.0318275931836138
normal 7 1 0.5 hf 1.79974546769131
normal 7 1 0.5 imsrg 1.6477692832332946
normal 7 1 0.5 mp2 1.6754491747436346
normal 7 1 1.0 hf 3.1619090102451683
normal 7 1 1.0 imsrg 3.0001424432618573
normal 7 1 1.0 mp2 3.02221260714284
normal 7 2 0.1 hf 3.8631345006545605
normal 7 2 0.1 imsrg 3.4812505569945102
normal 7 2 0.1 mp2 3.5926874534743813
normal 7 2 0.28 hf 8.02057107328676
normal 7 2 0.28 imsrg 7.583454232569367
normal 7 2 0.28 mp2 7.664137027319903
normal 7 2 0.5 hf 12.271375300861285
normal 7 2 0.5 imsrg 11.799873296809718
normal 7 2 0.5 mp2 11.870448318943456
normal 7 2 1.0 hf 20.720131534669118
normal 7 2 1.0 imsrg 20.217418687876528
normal 7 2 1.0 mp2 20.274047608354234
normal 7 3 0.1 hf 13.270860531558295
normal 7 3 0.1 imsrg 12.636660410397218
normal 7 3 0.1 mp2 12.802011255708313
normal 7 3 0.28 hf 26.722531833868544
normal 7 3 0.28 imsrg 25.925142674455362
normal 7 3 0.28 mp2 26.054949488093065
normal 7 3 0.5 hf 40.302718512441395
normal 7 3 0.5 imsrg 39.42498285990882
normal 7 3 0.5 mp2 39.53118443955438
normal 7 3 1.0 hf 66.93474491642282
normal 7 3 1.0 imsrg 65.99243949434846
