# Addition and removal energies (HF, IMSRG, QDPT)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# is_hole: whether the row denotes addition energy or removal energy;
# 0 => addition, 1 => removal.
#
# energy: value of addition/removal energy in atomic units.
#
num_shells num_filled freq method is_hole energy
11 2 0.5 hf+qpt2 1 3.15024
11 2 1 hf+qpt2 1 5.22725
11 3 0.1 hf+qpt2 1 1.75142
11 3 0.28 hf+qpt2 1 3.58985
11 3 0.5 hf+qpt2 1 5.39892
11 3 1 hf+qpt2 1 8.86182
12 1 0.28 hf+qpt2 1 0.733856
12 1 0.5 hf+qpt2 1 1.1568
12 1 1 hf+qpt2 1 2.00301
12 2 0.1 hf+qpt2 1 0.998759
12 2 0.28 hf+qpt2 1 2.07507
12 2 0.5 hf+qpt2 1 3.14796
12 2 1 hf+qpt2 1 5.22457
12 3 0.1 hf+qpt2 1 1.7459
12 3 0.28 hf+qpt2 1 3.58671
12 3 0.5 hf+qpt2 1 5.3953
12 3 1 hf+qpt2 1 8.85762
13 1 0.28 hf+qpt2 1 0.732862
13 1 0.5 hf+qpt2 1 1.15565
13 1 1 hf+qpt2 1 2.00168
13 2 0.1 hf+qpt2 1 0.997532
13 2 0.28 hf+qpt2 1 2.07344
13 2 0.5 hf+qpt2 1 3.14607
13 2 1 hf+qpt2 1 5.22234
13 3 0.1 hf+qpt2 1 1.7413
13 3 0.28 hf+qpt2 1 3.58416
13 3 0.5 hf+qpt2 1 5.39236
13 3 1 hf+qpt2 1 8.85412
14 1 0.28 hf+qpt2 1 0.732006
14 1 0.5 hf+qpt2 1 1.15466
14 1 1 hf+qpt2 1 2.00054
14 2 0.1 hf+qpt2 1 0.996492
14 2 0.28 hf+qpt2 1 2.07207
14 2 0.5 hf+qpt2 1 3.14447
14 2 1 hf+qpt2 1 5.22045
14 3 0.1 hf+qpt2 1 1.7393
14 3 0.28 hf+qpt2 1 3.58204
14 3 0.5 hf+qpt2 1 5.38992
14 3 1 hf+qpt2 1 8.85125
6 1 0.28 hf+qpt3 1 0.750789
6 1 0.5 hf+qpt3 1 1.17215
6 1 1 hf+qpt3 1 2.01794
6 2 0.1 hf+qpt3 1 1.05132
6 2 0.28 hf+qpt3 1 2.11771
6 2 0.5 hf+qpt3 1 3.19015
6 2 1 hf+qpt3 1 5.26945
6 3 0.28 hf+qpt3 1 3.87937
6 3 0.5 hf+qpt3 1 5.64941
6 3 1 hf+qpt3 1 9.06309
7 1 0.28 hf+qpt3 1 0.751554
7 1 0.5 hf+qpt3 1 1.17184
7 1 1 hf+qpt3 1 2.0161
7 2 0.1 hf+qpt3 1 1.04295
7 2 0.28 hf+qpt3 1 2.11521
7 2 0.5 hf+qpt3 1 3.18705
7 2 1 hf+qpt3 1 5.26298
7 3 0.1 hf+qpt3 1 1.94816
7 3 0.28 hf+qpt3 1 3.73814
7 3 0.5 hf+qpt3 1 5.50407
7 3 1 hf+qpt3 1 8.92228
8 1 0.28 hf+qpt3 1 0.752291
8 1 0.5 hf+qpt3 1 1.17181
8 1 1 hf+qpt3 1 2.01504
8 2 0.1 hf+qpt3 1 1.03937
8 2 0.28 hf+qpt3 1 2.11505
8 2 0.5 hf+qpt3 1 3.18525
8 2 1 hf+qpt3 1 5.25837
8 3 0.28 hf+qpt3 1 3.68379
8 3 0.5 hf+qpt3 1 5.46545
8 3 1 hf+qpt3 1 8.90444
9 1 0.28 hf+qpt3 1 0.753048
9 1 0.5 hf+qpt3 1 1.17195
9 1 1 hf+qpt3 1 2.01436
9 2 0.1 hf+qpt3 1 1.04104
9 2 0.28 hf+qpt3 1 2.11491
9 2 0.5 hf+qpt3 1 3.18412
9 2 1 hf+qpt3 1 5.25594
9 3 0.1 hf+qpt3 1 1.83679
9 3 0.28 hf+qpt3 1 3.63226
9 3 0.5 hf+qpt3 1 5.43198
9 3 1 hf+qpt3 1 8.89166
10 1 0.28 hf+qpt3 1 0.753773
10 1 0.5 hf+qpt3 1 1.17217
10 1 1 hf+qpt3 1 2.01391
10 2 0.1 hf+qpt3 1 1.04304
10 2 0.28 hf+qpt3 1 2.1151
10 2 0.5 hf+qpt3 1 3.18359
10 2 1 hf+qpt3 1 5.25427
10 3 0.1 hf+qpt3 1 1.81448
10 3 0.28 hf+qpt3 1 3.62713
10 3 0.5 hf+qpt3 1 5.42979
