# Ground state energies (HF, MP2, IMSRG)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# energy: value of ground state energy in atomic units.
#
# time: wall time taken to compute the result.
#
num_shells num_filled freq method energy time
12 3 1 hf 66.9114 0.00030031
13 1 0.28 hf 1.14171 0.00010656
13 1 1 hf 3.16191 0.000126119
13 2 0.1 hf 3.85238 0.000110675
13 2 0.28 hf 8.01957 9.39079e-05
13 2 1 hf 20.7192 8.9013e-05
13 3 0.1 hf 12.9249 0.000315039
13 3 0.28 hf 26.55 0.000313337
13 3 1 hf 66.9113 9.9462e-05
14 1 0.28 hf 1.14171 0.000299294
14 1 1 hf 3.16191 0.000311139
14 2 0.1 hf 3.85238 0.000309595
14 2 0.28 hf 8.01957 0.000108949
14 2 1 hf 20.7192 8.1736e-05
14 3 0.1 hf 12.9248 0.000305728
14 3 0.28 hf 26.55 0.000311997
14 3 1 hf 66.9113 0.000101523
5 1 0.28 mp2 1.03961 4.97399e-06
5 1 1 mp2 3.03342 3.73501e-06
5 2 0.28 mp2 7.78834 7.88999e-06
5 2 1 mp2 20.3675 5.49399e-06
5 3 0.1 mp2 13.8357 1.1418e-05
5 3 0.28 mp2 27.2123 1.1229e-05
5 3 1 mp2 67.0216 7.71999e-06
6 1 0.28 mp2 1.03512 8.69e-06
6 1 1 mp2 3.02704 8.562e-06
6 2 0.1 mp2 3.61634 1.0299e-05
6 2 0.28 mp2 7.68378 1.4975e-05
6 2 1 mp2 20.3026 1.0746e-05
6 3 0.28 mp2 26.6275 2.5897e-05
6 3 1 mp2 66.5489 2.811e-05
7 1 0.28 mp2 1.03183 1.4255e-05
7 1 1 mp2 3.02221 1.0726e-05
7 2 0.1 mp2 3.59269 1.9621e-05
7 2 0.28 mp2 7.66414 2.6224e-05
7 2 1 mp2 20.274 1.918e-05
7 3 0.1 mp2 12.802 4.8182e-05
7 3 0.28 mp2 26.0549 3.9935e-05
7 3 1 mp2 66.0674 3.5044e-05
8 1 0.28 mp2 1.02923 2.6636e-05
8 1 1 mp2 3.01859 1.7551e-05
8 2 0.1 mp2 3.57542 6.2279e-05
8 2 0.28 mp2 7.64979 4.7269e-05
8 2 1 mp2 20.2522 3.2442e-05
8 3 0.28 mp2 25.9 6.2742e-05
8 3 1 mp2 65.9856 9.24971e-05
9 1 0.28 mp2 1.02717 4.4373e-05
9 1 1 mp2 3.01574 3.4888e-05
9 2 0.1 mp2 3.5674 0.000120281
9 2 0.28 mp2 7.63867 0.000121832
9 2 1 mp2 20.2367 0.000114624
9 3 0.1 mp2 12.4141 0.000192187
9 3 0.28 mp2 25.7689 0.000161559
9 3 1 mp2 65.9253 0.000166819
10 1 0.28 mp2 1.0255 5.7864e-05
10 1 1 mp2 3.01345 7.161e-05
10 2 0.1 mp2 3.56113 0.000195332
10 2 0.28 mp2 7.62994 0.000187926
10 2 1 mp2 20.2243 0.000189846
10 3 0.1 mp2 12.3519 0.000303009
10 3 0.28 mp2 25.7347 0.000303701
10 3 1 mp2 65.8848 0.000329877
11 1 0.28 mp2 1.02411 0.00010127
11 1 1 mp2 3.01156 8.00859e-05
11 2 0.1 mp2 3.55588 0.000239085
11 2 0.28 mp2 7.62294 0.000276007
11 2 1 mp2 20.2145 0.000273938
11 3 0.1 mp2 12.3033 0.000491555
11 3 0.28 mp2 25.7092 0.00048205
11 3 1 mp2 65.8528 0.000471316
12 1 0.28 mp2 1.02295 0.000134449
12 1 1 mp2 3.00999 0.000111768
12 2 0.1 mp2 3.55158 0.000349563
12 2 0.28 mp2 7.61716 0.000343794
12 2 1 mp2 20.2064 0.000338359
12 3 0.1 mp2 12.2849 0.000610833
12 3 0.28 mp2 25.6907 0.000621695
12 3 1 mp2 65.8276 0.000619639
13 1 0.28 mp2 1.02196 0.000168314
13 1 1 mp2 3.00865 0.000173378
13 2 0.1 mp2 3.54798 0.000455633
13 2 0.28 mp2 7.61232 0.000454778
13 2 1 mp2 20.1996 0.00043902
13 3 0.1 mp2 12.2714 0.000835559
13 3 0.28 mp2 25.6755 0.000855325
13 3 1 mp2 65.8069 0.000846421
14 1 0.28 mp2 1.0211 0.000190108
14 1 1 mp2 3.00751 0.000191575
14 2 0.1 mp2 3.54492 0.000623733
14 2 0.28 mp2 7.60822 0.000609681
14 2 1 mp2 20.1939 0.000540674
14 3 0.1 mp2 12.2614 0.00108115
14 3 0.28 mp2 25.663 0.00110258
14 3 1 mp2 65.7897 0.00112032
